"chamber","district_number","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
"House",58,106515,13297,12214,3443,926,69,136284,0.781566434797922,0.0975683132282586,0.0896216723900091,0.0252634205042411,0.00730093041002612,"CVAP",2022,0.44730066448296,0.537810315232876,"R",9.1,9.1,23339,63,58
"House",59,117192,12158,10062,4401,1353,110,145415,0.805914107898085,0.0836089811917615,0.0691950624075921,0.0302651033249665,0.0100608602963931,"CVAP",2022,0.426530052589178,0.558028387862726,"R",13.1,13.1,23354,53,68
"House",60,110721,13186,11401,7856,934,104,144745,0.764938339839027,0.0910981381049432,0.0787661059103941,0.0542747590590349,0.00717123216691423,"CVAP",2022,0.537017110161911,0.445282294297383,"D",9.2,-9.2,23327,88,33
"House",61,119151,11051,6113,5540,990,36,143069,0.832821925085099,0.0772424494474694,0.0427276349174175,0.038722574422132,0.00717136486590386,"CVAP",2022,0.457277086360334,0.528173794131995,"R",7.1,7.1,21739,66,55
"House",62,48248,20670,48135,2288,878,0,120476,0.400478103522693,0.171569441216508,0.399540157375743,0.0189913343736512,0.00728775855772104,"CVAP",2022,0.706715225106215,0.277613256471178,"D",42.9,-42.9,21920,110,11
"House",63,36541,25967,53679,2036,827,149,119040,0.306964045698925,0.218136760752688,0.450932459677419,0.0171034946236559,0.0081989247311828,"CVAP",2022,0.745629370936346,0.236781929421452,"D",50.9,-50.9,20422,114,7
"House",64,41387,59378,12589,3480,537,105,117650,0.351780705482363,0.504700382490438,0.107003824904377,0.029579260518487,0.00545686357841054,"CVAP",2022,0.557305402016825,0.425895440559041,"D",13.1,-13.1,19960,90,30
"House",65,96822,22008,8509,5589,846,175,134248,0.72121744830463,0.163935403134497,0.0633826947142602,0.0416319051308027,0.00760532745366784,"CVAP",2022,0.488892470873395,0.495040660675801,"R",0.6,0.6,23350,77,44
"House",66,83273,32319,9171,6034,582,4,131928,0.631200351706992,0.244974531562671,0.0695151901036929,0.0457370687041417,0.0044418167485295,"CVAP",2022,0.443862044144102,0.54164638999409,"R",9.8,9.8,22722,62,60
"House",67,64438,26503,23605,9937,614,119,125781,0.512303130043488,0.210707499542856,0.187667453748976,0.0790023930482346,0.00582758922253758,"CVAP",2022,0.569105951590404,0.413350476544185,"D",15.6,-15.6,21029,95,26
"House",68,80798,26680,14193,3409,830,120,126465,0.638896137271182,0.210967461352944,0.112228679871901,0.0269560748033053,0.00751195983078322,"CVAP",2022,0.357549961917184,0.62732515216057,"R",27,27,19490,28,93
"House",69,73456,25641,19158,3310,896,25,122698,0.598673165006765,0.208976511434579,0.156139464375947,0.0269768048378947,0.00750623482045347,"CVAP",2022,0.457106813798523,0.52690075886971,"R",7,7,23344,67,54
"House",70,89574,19818,16820,3475,647,110,130950,0.684032073310424,0.151340206185567,0.128445971744941,0.026536846124475,0.00578083237877052,"CVAP",2022,0.420498888846593,0.566367414370695,"R",14.6,14.6,20417,49,72
"House",71,97815,16470,16224,1908,733,20,133268,0.733972146351712,0.123585556922892,0.121739652429691,0.0143170153375154,0.0056502686316295,"CVAP",2022,0.424595866065766,0.561723640093793,"R",13.7,13.7,19738,51,70
"House",72,112986,13196,6776,3367,807,115,137436,0.822099013358945,0.0960155999883582,0.0493029482813819,0.0244986757472569,0.00670857708315143,"CVAP",2022,0.379031729528731,0.609407626152546,"R",23,23,19925,34,87
"House",73,134669,9636,7779,2574,755,65,155649,0.865209541982281,0.0619085249503691,0.0499778347435576,0.0165372087196191,0.00526826385007292,"CVAP",2022,0.474182512641281,0.514834470809259,"R",4.1,4.1,22529,71,50
"House",74,123242,13481,6590,2216,634,69,146306,0.842357798039725,0.0921424958648312,0.0450425819857012,0.0151463371290309,0.00480499774445341,"CVAP",2022,0.391019173225609,0.596778481304159,"R",20.6,20.6,21024,38,83
"House",75,143424,8163,5015,2581,994,49,160310,0.894666583494479,0.0509200923211278,0.0312831389183457,0.0161000561412264,0.00650614434533092,"CVAP",2022,0.358601371520371,0.630002027628253,"R",27.1,27.1,18621,27,95
"House",76,122396,15071,8262,1487,904,58,148403,0.824754216558964,0.101554550784014,0.0556727289879585,0.010020013072512,0.00648234873958074,"CVAP",2022,0.319118430644132,0.670677344022554,"R",35.2,35.2,20018,14,107
"House",77,72778,35088,15890,2600,616,81,127400,0.571255886970173,0.27541601255887,0.124725274725275,0.0204081632653061,0.00547095761381476,"CVAP",2022,0.39516665058851,0.593781853614751,"R",19.9,19.9,23349,41,80
"House",78,97106,16654,16826,2459,703,8,133863,0.7254132956829,0.124410778183665,0.125695673935292,0.0183695270537789,0.00531140046166603,"CVAP",2022,0.428962721398225,0.561143306344826,"R",13.2,13.2,22207,52,69
"House",79,109307,27427,6730,2351,774,19,146916,0.744010182689428,0.186684908383022,0.0458084892047156,0.0160023414740396,0.00539764219009502,"CVAP",2022,0.339826625027757,0.65054016043298,"R",31.1,31.1,22022,19,102
