"legislator_name","party","chamber","district_number","leg_n_votes_partisan","leg_mean_partisanship","sd_partisan_vote","se_partisan_vote","lower_bound","upper_bound","leg_label"
"Debbie Mayfield","R","Senate",19,1714,0.00058343057176196,0.0241543075198185,0.00058343057176196,0,0.00116686114352392,"Debbie Mayfield (R-19)"
"Demi Busatta Cabrera","R","House",114,1185,0.00759493670886076,0.0767922011042313,0.0022307861569416,0.00536415055191916,0.00982572286580236,"Demi Busatta Cabrera (R-114)"
"Dennis Baxley","R","Senate",13,1528,0,0,0,0,0,"Dennis Baxley (R-13)"
"Dianne Hart","D","House",63,1159,0.0112165660051769,0.0512763141915823,0.00150617377658593,0.00971039222859095,0.0127227397817628,"Dianne Hart (D-63)"
"Dotie Joseph","D","House",108,977,0.0184237461617195,0.0459799974446239,0.00147103044430539,0.0169527157174142,0.0198947766060249,"Dotie Joseph (D-108)"
"Doug Bankson","R","House",39,1158,0.00302245250431779,0.0508765829938651,0.00149507732747828,0.00152737517683951,0.00451752983179607,"Doug Bankson (R-39)"
"Douglas Broxson","R","Senate",1,1121,0.00133809099018733,0,0,0.00133809099018733,0.00133809099018733,"Douglas Broxson (R-1)"
"Ed Hooper","R","Senate",21,1483,0.00505731625084289,0.0635637370290256,0.00165058862078782,0.00340672763005506,0.00670790487163071,"Ed Hooper (R-21)"
"Erin Grall","R","Senate",29,1024,0.0146484375,0.0830847002580505,0.00259639688306408,0.0120520406169359,0.0172448343830641,"Erin Grall (R-29)"
"Fabian Basabe","R","House",106,1047,0.00668576886341929,0.0815317016430232,0.00251972512046833,0.00416604374295096,0.00920549398388762,"Fabian Basabe (R-106)"
"Felicia Simone Robinson","D","House",104,1272,0.0216194968553459,0.0850893940995099,0.00238578814097845,0.0192337087143675,0.0240052849963244,"Felicia Simone Robinson (D-104)"
"Fentrice Driskell","D","House",67,954,0.0125786163522013,0.0727769891844907,0.00235624202332744,0.0102223743288738,0.0149348583755287,"Fentrice Driskell (D-67)"
"Fiona McFarland","R","House",73,913,0.00273822562979189,0.0468035813866012,0.00154897246462933,0.00118925316516257,0.00428719809442122,"Fiona McFarland (R-73)"
"Gallop Franklin","D","House",8,1115,0.0417040358744395,0.195199040300934,0.00584575008205863,0.0358582857923808,0.0475497859564981,"Gallop Franklin (D-8)"
"Gayle Harrell","R","Senate",31,1280,0.00234375,0.04837442534403,0.00135210629302175,0.000991643706978254,0.00369585629302175,"Gayle Harrell (R-31)"
"Geraldine Thompson","D","Senate",15,1419,0.0130373502466526,0.0464571485861349,0.00123327904612278,0.0118040712005298,0.0142706292927753,"Geraldine Thompson (D-15)"
"Hillary Cassel","D","House",101,1053,0.0251661918328585,0.149658578899421,0.00461198017123876,0.0205542116616197,0.0297781720040973,"Hillary Cassel (D-101)"
"Ileana Garcia","R","Senate",36,1625,0.0147692307692308,0.113184081756891,0.00280775150808784,0.0119614792611429,0.0175769822773186,"Ileana Garcia (R-36)"
"James Buchanan","R","House",74,1194,0.00251256281407035,0.0500834367666121,0.00144941235662147,0.00106315045744889,0.00396197517069182,"James Buchanan (R-74)"
"Jason Brodeur","R","Senate",10,1632,0.00153186274509804,0.0350069889328937,0.000866552101972909,0.000665310643125131,0.00239841484707095,"Jason Brodeur (R-10)"
"Jason Pizzo","D","Senate",37,1239,0.0234059725585149,0.141111392016754,0.00400891107458866,0.0193970614839263,0.0274148836331036,"Jason Pizzo (D-37)"
"Jason Shoaf","R","House",7,1138,0.00439367311072056,0.0592606093251151,0.00175668940352096,0.00263698370719961,0.00615036251424152,"Jason Shoaf (R-7)"
"Jay Collins","R","Senate",14,1290,0.000775193798449612,0.0278423023194852,0.000775193798449612,0,0.00155038759689922,"Jay Collins (R-14)"
"Jay Trumbull","R","Senate",2,1427,0.00210231254379818,0.0374502758579583,0.000991386577156422,0.00111092596664176,0.0030936991209546,"Jay Trumbull (R-2)"
"Jeff Holcomb","R","House",53,1414,0.00353606789250354,0.0460938116856358,0.00122579520583226,0.00231027268667128,0.00476186309833579,"Jeff Holcomb (R-53)"
"Jenna Persons-Mulicka","R","House",78,1402,0.000356633380884451,0,0,0.000356633380884451,0.000356633380884451,"Jenna Persons-Mulicka (R-78)"
"Jennifer Bradley","R","Senate",6,1380,0.00942028985507246,0.0890844908591159,0.0023980738816307,0.00702221597344176,0.0118183637367032,"Jennifer Bradley (R-6)"
"Jennifer Canady","R","House",50,1178,0.000424448217317487,0,0,0.000424448217317487,0.000424448217317487,"Jennifer Canady (R-50)"
"Jennifer Harris","D","House",44,1147,0.0143853530950305,0.0665774277055735,0.00196582703198822,0.0124195260630423,0.0163511801270187,"Jennifer Harris (D-44)"
"Jervonte Edmonds","D","House",88,932,0.0305793991416309,0.168075071912668,0.00550548203173607,0.0250739171098948,0.036084881173367,"Jervonte Edmonds (D-88)"
"Jessica Baker","R","House",17,1312,0.00685975609756098,0.0553634571309116,0.00152846776493648,0.0053312883326245,0.00838822386249746,"Jessica Baker (R-17)"
"Jim Boyd","R","Senate",20,1780,0.000561797752808989,0.0237022731569989,0.000561797752808989,0.00000000000000000010842021724855,0.00112359550561798,"Jim Boyd (R-20)"
"Jim Mooney","R","House",120,1200,0.00916666666666667,0.0953426141202258,0.00275230419637775,0.00641436247028892,0.0119189708630444,"Jim Mooney (R-120)"
