"people_id","party","legislator_name","last_name","ballotpedia","district_number","chamber","termination_date","setting_party_loyalty","leg_party_loyalty","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","rank_partisan_leg_R","rank_partisan_leg_D","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
12379,"R","Gayle Harrell","Harrell","http://ballotpedia.org/Gayle_Harrell",31,"Senate",NA,"partisan_cross",0.979166666666667,144,141,1136,3,19,0,0,17,NA,302963,56757,41386,9716,1913,234,413498,0.732683108503548,0.137260639712889,0.100087545768057,0.0234970906751665,0.00519228629884546,"CVAP",2022,0.4187544042095,0.571375066635566,"R",15,15,12379,19,22
1720,"D","Geraldine Thompson","Thompson","http://ballotpedia.org/Geraldine_Thompson",15,"Senate",NA,"partisan_cross",0.980769230769231,156,153,1221,3,44,31,11,NA,1,127267,76935,134572,13687,2428,250,355971,0.357520696910703,0.216127156425664,0.378042031513803,0.0384497613569645,0.00752308474566748,"CVAP",2022,0.632988701132175,0.352991009307981,"D",28,-28,1720,37,4
23317,"D","Hillary Cassel","Cassel","http://ballotpedia.org/Hillary_Cassel",101,"House",NA,"partisan_cross",0.866666666666667,180,156,867,24,42,5,1,NA,26,57124,40044,13905,4205,902,144,116508,0.490301095203763,0.343701720053559,0.119348027603255,0.0360919421842277,0.00897792426271157,"CVAP",2022,0.554181582354314,0.435462287083654,"D",12,-12,23317,89,32
21775,"R","Ileana Garcia","Garcia","http://ballotpedia.org/Ileana_Garcia",36,"Senate",NA,"partisan_cross",0.876470588235294,170,149,1449,21,160,6,0,28,NA,48227,238996,17443,5358,588,58,311144,0.154998971537295,0.768120227290258,0.0560608592805903,0.0172203224230581,0.002076209086468,"CVAP",2022,0.482885150158387,0.506641450828272,"R",2,2,21775,24,17
21024,"R","James Buchanan","Buchanan","http://ballotpedia.org/James_Buchanan_(Florida)",74,"House",NA,"partisan_cross",0.987234042553191,235,232,959,3,115,0,0,51,NA,123242,13481,6590,2216,634,69,146306,0.842357798039725,0.0921424958648312,0.0450425819857012,0.0151463371290309,0.00480499774445341,"CVAP",2022,0.391019173225609,0.596778481304159,"R",21,21,21024,38,84
12366,"R","Jason Brodeur","Brodeur","http://ballotpedia.org/Jason_Brodeur",10,"Senate",NA,"partisan_cross",0.988439306358382,173,171,1458,2,95,1,0,13,NA,256750,77866,46101,16106,2299,147,400448,0.641156904267221,0.194447219114592,0.115123561610996,0.0402199536519099,0.00610815886207448,"CVAP",2022,0.489313618674994,0.494765022707349,"R",1,1,12366,26,16
20632,"D","Jason Pizzo","Pizzo","http://ballotpedia.org/Jason_Pizzo",37,"Senate",NA,"partisan_cross",0.8046875,128,103,1100,25,78,8,3,NA,11,201400,103021,54345,7389,1753,435,368847,0.54602585896049,0.279305511499348,0.147337513928539,0.020032696483908,0.0059319989046949,"CVAP",2022,0.546755065167324,0.443967610304208,"D",10,-10,20632,29,12
21391,"R","Jason Shoaf","Shoaf","http://ballotpedia.org/Jason_Shoaf",7,"House",NA,"partisan_cross",0.980676328502415,207,203,929,4,88,2,0,62,NA,110360,6902,22732,686,1842,70,142833,0.772650577947673,0.0483221664461294,0.159150896501509,0.0048028116751731,0.013386262278325,"CVAP",2022,0.235171943432313,0.753752787660112,"R",52,52,21391,3,118
23324,"R","Jay Collins","Collins","http://ballotpedia.org/Jay_Collins",14,"Senate",NA,"partisan_cross",0.993464052287582,153,152,1137,1,35,0,0,11,NA,222517,114037,32352,16159,2067,284,388341,0.572993837889896,0.293651713313814,0.0833082265328667,0.0416103373066454,0.0060539577330233,"CVAP",2022,0.490248754434532,0.494068522240746,"R",0,0,23324,27,14
16763,"R","Jay Trumbull","Trumbull","http://ballotpedia.org/Jay_Trumbull",2,"Senate",NA,"partisan_cross",0.988095238095238,168,166,1257,2,84,2,0,14,NA,330290,22214,46067,10522,6149,383,417594,0.790935693520501,0.0531952087434206,0.110315282307696,0.025196722175127,0.0156419871933026,"CVAP",2022,0.246804597437964,0.736329414377778,"R",49,49,16763,1,40
23353,"R","Jeff Holcomb","Holcomb","http://ballotpedia.org/Jeff_Holcomb_(Florida)",53,"House",NA,"partisan_cross",0.98876404494382,267,264,1142,3,75,4,1,45,NA,110183,18528,5995,2119,989,78,138175,0.797416319884205,0.134090826850009,0.043387009227429,0.0153356251130812,0.00772209155056993,"CVAP",2022,0.334303219906856,0.652884178702746,"R",32,32,23353,16,106
